Dissector,Interval,Sampling,DeadGams,Reverts,Newgams,Gams,GroupSize,TotalPupae,InitPupae,finalpupae,finallarvae,finaleggs,BPYO,BPMATED,BPYB,BPDissNotes,CABYO,CABMATED,CABYB,CABDissNotes,KLHYO,KLHMATED,KLHYB,KLHDissNotes,BehaviorSampled,Treatment,Date-Dissection,TRUE GAM COLONY,TRUE GAM MARK,status,cricket,headwidth,headwidth_mm,headwidth2,braindiss,oocyte_gam,gam_agreement,Ovary File Image Number(Blinded),PHOTO_YO,PHOTO_MATED,PHOTO_YB,NOTES--BP-when observing photographs blindly
BP,Eighteen,Final,1,1,1,12,21,29,20,0,5,136,10,1,1,,8,1,1,"maybe one more YO, but is translucent",,,,,1,IP,5/26/22,112C,BOB (now _OB),G,0,1,2.609,2.6,,G,TRUE,8D,9,1,1,2 YO are partially obfuscated by another YO
BP,Eighteen,Final,1,1,1,12,21,29,20,0,5,136,9,1,1,,8,1,1,one small oocyte uncounted b/c too  translucent,,,,,1,IP,5/26/22,112C,OBO,G,0,1,2.619,2.6,,G,TRUE,1D,8,1,1,
BP,Eighteen,Final,1,1,1,12,21,29,20,0,5,136,0,1,1,,0,1,1,,0,1,1,,1,IP,5/26/22,112C,GOG,RG,1,1,2.404,2.4,,RG,TRUE,17D,0,1,1,
BP,Eighteen,Final,,,1,5,22,0,0,0,1,69,9,1,1,,8,1,1,,,,,,1,SP,5/26/22,R3BA3A,YOY,G,0,0,,,,G,TRUE,11D,7,1,1,
BP,Eighteen,Final,,,1,5,22,0,0,0,1,69,7,1,1,,7,1,1,,,,,,1,SP,5/26/22,R3BA3A,BYO,G,0,1,2.354,2.4,,G,TRUE,3D,6,1,1,1 YO obfuscated by another YO
BP,Eighteen,Final,,,1,5,22,0,0,0,1,69,2,1,0,,2,1,0,,,,,,1,SP,5/26/22,R3BA3A,BOG,NG3,0,1,2.640,2.6,,NG,FALSE,4D,2,1,0,BP mixed up BGO and BOG in intiial labeling of ovaries
BP,Eighteen,Final,,,1,5,22,0,0,0,1,69,0,1,0,,0,1,0,,,,,,1,SP,5/26/22,R3BA3A,BGO,NG1,0,1,2.331,2.3,,W,FALSE,14D,0,1,0,BP mixed up BGO and BOG in intiial labeling of ovaries
CAB,Twelve,Final,,,1,2,19,20,3,,,,,,,,6,1,,,,,,,1,SP,12/31/19,F107/1,Orange Green,G,,0,,,,G,TRUE,44,4,1,1,"1 uncounted is underneath larger YO, and can't tell if sufficiently opaque; another uncounted away is not ovoid"
CAB,Twelve,Final,,,1,2,19,20,3,,,,,,,,6,1,,,,,,,1,SP,12/31/19,F107/1,Green Green Yellow (-/blue),G,,0,,,,G,TRUE,45,6,1,1,
CAB,Twelve,Final,,,,8,12,16,7,,,,,,,,6,1,,,,,,,1,IP,12/31/19,R22G/1(49E),Orange Green Orange,G,,0,,,,G,TRUE,40,5,1,1,"1 counted is mostly full, whereas 1 that is uncounted seems round"
CAB,Twelve,Final,,,,8,12,16,7,,,,,,,,5,1,,,,,,,1,IP,12/31/19,R22G/1(49E),Green,G,,0,,,,G,TRUE,98,5,1,1,5th YO counted even though a bit unfilled--but good enough; may be a 6th YO but hard to tell
CAB,Twelve,Final,,,,1,12,77,31,,,,,,,,5,1,,,,,,,1,SP,1/5/20,F21/1,Orange,G,,0,,,,G,TRUE,72,5,1,1,hard to distinguish 1 counted and small YO from larger one next to it
CAB,Twelve,Final,,,,5,8,32,1,,,,,,,,4,1,,,,,,,1,IP,1/5/20,R4A(83),White Pink White,G,,1,2.811,2.8,,G,TRUE,31,3,1,1,may be an additional YO that was partially destroyed upon dissection--hard to tell and uncounted
CAB,Twelve,Final,,,,5,8,32,1,,,,,,,,6,1,,,,,,,1,IP,1/5/20,R4A(83),Yellow,G,,1,2.727,2.7,,G,TRUE,46,6,1,1,
CAB,Twelve,Final,,,,5,8,32,1,,,,,,,,4,1,,,,,,,1,IP,1/5/20,R4A(83),Pink,G,,0,,,,G,TRUE,57,4,1,1,hard to tell that 3rd and 4th Yos are ovoid
CAB,Twelve,Final,1,1,,6,14,25,5,,,,,,,,4,1,,,,,,,1,IP,1/6/20,47B/C/2,Yellow Green Blue,G,,1,2.581,2.6,,G,TRUE,100,3,1,1,"1 uncounted seems partially filled and destroyed, but not enough to be sure it's a YO"
CAB,Twelve,Final,1,1,,6,14,25,5,,,,,,,,,,,,,,,,,IP,1/6/20,47B/C/2,Yellow Orange Blue,G,,1,2.681,2.7,,,,,,,,
CAB,Twelve,Final,,,,2,24,89,20,,,,,,,,7,1,,,,,,,1,SP,1/6/20,R15A(118),Orange,G,,1,2.861,2.9,,G,TRUE,3,6,1,1,"*may be 7th or 8th additional YO, but difficult to discern"
CAB,Twelve,Final,,,,2,24,89,20,,,,,,,,6,1,,,,,,,1,SP,1/6/20,R15A(118),Yellow Orange Yellow,G,,1,2.791,2.8,,G,TRUE,63,6,1,1,
CAB,Twelve,Final,1,,1,2,22,51,11,,,,,,,,,,,,,,,,1,SP,3/9/20,R4A(83B),Blue Pink White,G,,1,2.720,2.7,,G,TRUE,7,6,1,1,"GWB died, so presumed that it reverted before"
CAB,Twelve,Final,1,,1,2,22,51,11,,,,,,,,,,,,,,,,1,SP,3/9/20,R4A(83B),Pink White Blue,G,,1,2.840,2.8,,G,TRUE,35,6,1,1,ncounted partially destroyed YO that is round
CAB,Twelve,Final,,1,,5,12,37,4,,,,,,,,,,,,,,,,1,IP,3/9/20,SAFC9,Pink,G,,1,2.802,2.8,,G,TRUE,27,4,1,1,clear that 1 YO was partially destroyed in dissection--so counted
CAB,Twelve,Final,,1,,5,12,37,4,,,,,,,,,,,,,,,,1,IP,3/9/20,SAFC9,Orange,G,,1,2.913,2.9,,G,TRUE,37,3,1,1,3 trophocytes not counted b/c round; 3rd YO counted since more ovoid than round
CAB,Twelve,Final,,,,2,23,81,28,,,,,,,,,,,,,,,,1,SP,3/10/20,77B,Blue Green White,G,,1,2.950,3.0,,G,TRUE,29,3,0,1,1 trophocyte uncounted (round); may be another small YO but too hard to discern
CAB,Twelve,Final,,,,2,23,81,28,,,,,,,,,,,,,,,,1,SP,3/10/20,77B,GreenBlueGreen,G,,1,2.695,2.7,,G,TRUE,42,5,1,1,"1 uncounted is too transparent to count, although ovoid"
CAB,Twelve,Final,,,,8,12,47,13,,,,,,,,,,,,,,,,1,IP,3/10/20,99B,Green,G,,1,2.631,2.6,,G,TRUE,68,7,0,1,7th counted  is hard to tell because is underneath another
CAB,Twelve,Final,,,,8,12,47,13,,,,,,,,,,,,,,,,1,IP,3/10/20,99B,OrangeBlueOrange,G,,1,2.896,2.9,,G,TRUE,80,7,1,1,yellow bodies are dim but present; filled spermatheca is hard to see but in middle left
CAB,Twelve,Final,1,,,4,6,33,16,,,,,,,,,,,,,,,,1,IP,3/11/20,F21/1A,Green,G,,1,2.599,2.6,,G,TRUE,8,3,1,1,*4th one that is uncounted that may be beneath another YO
CAB,Twelve,Final,1,,,4,6,33,16,,,,,,,,,,,,,,,,1,IP,3/11/20,F21/1A,Orange Blue Orange,G,,1,2.478,2.5,,G,TRUE,78,2,0,1,multiple uncounted trophocytes (too transparent); 1 uncounted is too round and transparent
CAB,Twelve,Final,1,,,4,6,33,16,,,,,,,,,,,,,,,,1,IP,3/11/20,F21/1A,White Yellow White,G,,1,2.488,2.5,,G,TRUE,92,4,1,1,"1 counted is not fully ovoid, but good enough"
CAB,Twelve,Final,,,,1,5,64,22,,,,,,,,,,,,,,,,1,SP,3/11/20,F48,Green Pink Green,G,,1,2.814,2.8,,G,TRUE,36,7,1,1,1  not counted since partially full and too transparent
CAB,Twelve,Final,,,1,1,15,37,15,,,,,,,,,,,,,,,,1,SP,4/14/20,F20/1,Pink,G,,1,2.878,2.9,,G,TRUE,34,5,1,1,"hard to tell if spermatheca is filled , but think that it is"
CAB,Twelve,Final,1,,,7,13,39,1,,,,,,,,,,,,,,,,1,IP,4/14/20,F44,Blue (-/blue),G,,1,2.883,2.9,,G,TRUE,9,7,0,1,uncounted 1 that is small and seems unfilled
CAB,Twelve,Final,1,,,7,13,39,1,,,,,,,,,,,,,,,,1,IP,4/14/20,F44,Orange Blue (-/silver),G,,1,2.740,2.7,,G,TRUE,54,6,1,1,"hard to tell that spermatheca is filled, but seems to be; 1 yolky oocyte looks damaged, but still ovoid"
CAB,Twelve,Final,1,,,7,13,39,1,,,,,,,,,,,,,,,,1,IP,4/14/20,F44,Blue Yellow Blue,unclear,,1,2.913,2.9,,G,FALSE,65,3,1,0,1 uncounted is too round and unfilled
CAB,Twelve,Final,,,,9,15,54,0,,,,,,,,,,,,,,,,1,IP,4/28/20,SAFC12,Green Yellow Magenta,G,,1,2.937,2.9,,G,TRUE,11,6,1,1,"6th one is unclear is underneath ovarioles, but clear enough to count"
CAB,Twelve,Final,,,,9,15,54,0,,,,,,,,,,,,,,,,1,IP,4/28/20,SAFC12,Yellow White Yellow,G,,1,2.700,2.7,,G,TRUE,30,4,1,1,"may be a an uncounted 5th that's obfuscated but hard to tell; 1 uncounted amorphous-shaped oocyte; 1 counted YO is a little weird shape, but still ovoid"
CAB,Twelve,Final,,,,9,15,54,0,,,,,,,,,,,,,,,,1,IP,4/28/20,SAFC12,Yellow Green Yellow,G,,1,2.917,2.9,,G,TRUE,93,4,1,1,very small YO that is undeneath and hard to distinguish
CAB,Twelve,Final,,,,1,11,51,2,,,,,,,,,,,,,,,,1,SP,4/28/20,T3A2(66),Orange,G,,1,2.467,2.5,,G,TRUE,99,6,1,1,hard to see very small YO near another
BP,Twelve,Final,,,,9,15,54,0,,,,5,1,1,,,,,,,,,,1,IP,4/28/20,SAFC12,blue-yellow-blue,G,,0,,,,G,TRUE,14A,5,1,1,NONE
BP,Twelve,Final,,,,9,15,54,0,,,,,1,1,,,,,,,,,,1,IP,4/28/20,SAFC12,green-yellow-green,G,,0,,,,G,TRUE,12A,4,0,1,"4-6 YO seen in raw observation, but too imprecise so data not entered"
BP,Twelve,Final,,,,9,15,54,0,,,,4,0,1,,,,,,,,,,1,IP,4/28/20,SAFC12,white-yellow-white,G,,0,,,,G,TRUE,30A,4,0,1,NONE
BP,Twelve,Final,,,,9,15,54,0,,,,3,0,1,,,,,,,,,,1,IP,4/28/20,SAFC12,yellow-pink-yellow,G,,0,,,,G,TRUE,24A,3,1,1,lost 2 YO after observation but before photography; counte 3rd YO from photo; even though seems to not be very consolidated
BP,Twelve,Final,,,,8,14,63,15,,,,5,,1,,,,,,,,,,1,IP,8/26/20,F48A,GYG,G,,0,,,,G,TRUE,16A,4,0,1,photo: 1 yo is uncounted b/c too translucent
BP,Twelve,Final,,,,8,14,63,15,,,,7,,1,,,,,,,,,,1,IP,8/26/20,F48A,OWO,G,,0,,,,G,TRUE,37A,7,0,1,photo: counting 7th YO even though partially obscured
BP,Twelve,Final,,,,8,14,63,15,,,,4,,1,,,,,,,,,,1,IP,8/26/20,F48A,WGW,G,,0,,,,G,TRUE,3A,5,0,1,
BP,Twelve,Final,,,,8,14,63,15,,,,6,,1,,,,,,,,,,1,IP,8/26/20,F48A,WOW,G,,0,,,,G,TRUE,57A,5,1,1,
BP,Twelve,Final,,,,8,14,63,15,,,,4,,1,,,,,,,,,,1,IP,8/26/20,F48A,YWY,G,,0,,,,G,TRUE,1A,6,0,1,
CAB,Twelve,Final,,,,8,14,63,15,,,,,,,,,,,,,,,,1,IP,8/27/20,F48A,Blue Green Pink,G,,1,2.904,2.9,,G,TRUE,22,5,1,1,
CAB,Twelve,Final,,,,8,14,63,15,,,,,,,,,,,,,,,,1,IP,8/27/20,F48A,Blue Green Blue,G,,1,2.810,2.8,,G,TRUE,53,4,0,1,
CAB,Twelve,Final,,,,8,14,63,15,,,,,,,,,,,,,,,,1,IP,8/27/20,F48A,Green Pink Blue,G,,1,2.719,2.7,,G,TRUE,89,5,1,1,6th and 7th uncounted b/c too transparent or covered by another to be separate
CAB,Twelve,Final,,,,1,4,32,6,,,,,,,,,,,,,,,,1,SP,8/27/20,RP5/2(1B),White Yellow White,G,,1,2.618,2.6,,G,TRUE,21,6,1,1,
CAB,Twelve,Final,1,,,5,8,18,1,,,,,,,,,,,,,,,,1,IP,8/28/20,R15A(118E),Yellow,G,,1,2.855,2.9,,G,TRUE,38,5,1,1,5 counted even though one is obscured by large YO on top of it
CAB,Twelve,Final,1,,,5,8,18,1,,,,,,,,,,,,,,,,1,IP,8/28/20,R15A(118E),Yellow Orange,G,,1,2.693,2.7,,G,TRUE,52,3,1,1,"1 counted is weird shape,but still ovoid enough; 2nd counted is a little transparent but enough to be YO; 1 uncounted is round"
CAB,Twelve,Final,1,,,5,8,18,1,,,,,,,,,,,,,,,,1,IP,8/28/20,R15A(118E),White,G,,1,2.860,2.9,,G,TRUE,95,6,1,1,hard to distinguish 1 YO underneath the rest
CAB,Twelve,Final,1,1,,1,4,20,2,,,,,,,,,,,,,,,,1,SP,8/28/20,SAFC12A,Yellow Orange Yellow,unscanned,,1,2.652,2.7,,,,,,,,
CAB,Twelve,Final,1,1,,1,4,20,2,,,,,,,,,,,,,,,,1,SP,8/28/20,SAFC12A,Yellow Green Yellow,G,,1,2.822,2.8,,G,TRUE,15,7,1,1,hard to tell 7th one on left ovariole superimposed on larger one
BP,Twelve,Final,1,,,5,8,18,1,,,,5,,1,,,,,,,,,,1,IP,8/28/20,R15A(118E),blue,G,,0,,,,G,TRUE,11A,5,0,1,
BP,Twelve,Final,1,,,5,8,18,1,,,,5,,1,,,,,,,,,,1,IP,8/28/20,R15A(118E),blue-orange,G,,0,,,,G,TRUE,63A,4,0,1,photo: 5th YO not counted b/c too translucent
BP,Twelve,Final,,,,10,16,19,4,,,,6,0,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),BYB,G,,0,,,,G,TRUE,38A,6,0,1,
BP,Twelve,Final,,,,10,16,19,4,,,,5,1,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),GMW,G,,0,,,,G,TRUE,34A,5,1,1,
BP,Twelve,Final,,,,10,16,19,4,,,,5,0,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),GMY,G,,0,,,,G,TRUE,69A,5,1,1,photo: 4th and 5th YO distinguished from one another and both sufficiently opaque to be Yos
BP,Twelve,Final,,,,10,16,19,4,,,,4,0,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),PBP,G,,0,,,,G,TRUE,6A,4,0,1,
BP,Twelve,Final,,,,10,16,19,4,,,,5,1,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),PGP,G,,0,,,,G,TRUE,61A,4,0,1,photo: not counting 5th YO since too translucent
BP,Twelve,Final,,,,10,16,19,4,,,,5,1,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),PWP,G,,0,,,,G,TRUE,64A,5,1,1,photo: 5th YO counted b/c sufficiently opaque
BP,Twelve,Final,,,,10,16,19,4,,,,6,0,1,,,,,,,,,,1,IP,9/12/20,R017A/2(16),YBP,G,,0,,,,G,TRUE,49A,5,0,1,photo: 1 YO damaged during prep for photograph
CAB,Twelve,Final,,,,10,16,19,4,,,,,,,,,,,,,,,,1,IP,9/13/20,R017A/2(16),Yellow Blue Yellow,G,,1,2.738,2.7,,G,TRUE,25,4,1,1,1 YO is a blurry and underneath an ovariole but counted
CAB,Twelve,Final,,,,10,16,19,4,,,,,,,,,,,,,,,,1,IP,9/13/20,R017A/2(16),Blue White Blue,G,,1,2.761,2.8,,G,TRUE,75,7,1,1,"7th counted YO is a bit transparent, but opaque enough to count"
CAB,Twelve,Final,,,,10,16,19,4,,,,,,,,,,,,,,,,1,IP,9/13/20,R017A/2(16),Green Blue Green,G,,1,2.762,2.8,,G,TRUE,76,4,1,1,"maybe an uncounted YO underneath other tissue, but too unclear to be confident"
CAB,Twelve,Final,,,,1,5,58,7,,,,,,,,,,,,,,,,1,SP,9/13/20,RL8/6B1(112B),Yellow Orange,G,,1,2.848,2.8,,G,TRUE,67,11,0,1,1 counted is partially destroyed but counted anyway; another counted YO is hard to discern but must be underneath other one
CAB,Twelve,Final,,,,7,11,94,41,,,,,,,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),Blue Yellow Green,G,,1,2.980,3.0,,G,TRUE,59,6,1,1,
CAB,Twelve,Final,,,,7,11,94,41,,,,,,,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),Blue Green Blue,G,,1,2.736,2.7,,G,TRUE,90,5,1,1,1 trophocyte uncounted (round and too transparent);  1 YO has weird sausage shape
CAB,Twelve,Final,,,,2,11,77,37,,,,,,,,,,,,,,,,1,SP,9/18/20,SAFC5,Orange Blue Orange,G,,1,2.762,2.8,,G,TRUE,66,7,1,1,1   uncounted underneath but hard to tell
CAB,Twelve,Final,,,,2,11,77,37,,,,,,,,,,,,,,,,1,SP,9/18/20,SAFC5,Blue,G,,1,2.941,2.9,,G,TRUE,71,10,1,1,1 uncounted b/c round and partially filled; 
BP,Twelve,Final,,,,7,11,94,41,,,,7,1,1,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),BOB,G,,0,,,,G,TRUE,54A,3,1,1,BP: 4 of the raw YO seem too translucent on photo.  Probably why I didn't count
BP,Twelve,Final,,,,7,11,94,41,,,,6,1,1,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),BYB,G,,0,,,,G,TRUE,51A,5,1,1,
BP,Twelve,Final,,,,7,11,94,41,,,,6,1,1,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),GBG,G,,0,,,,G,TRUE,47A,6,1,1,
BP,Twelve,Final,,,,7,11,94,41,,,,7,1,1,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),YBY,G,,0,,,,G,TRUE,13A,5,0,1,BP: 2 raw YO seem too translucent in photo that I probably didn’t count them
BP,Twelve,Final,,,,7,11,94,41,,,,6,1,1,,,,,,,,,,1,IP,9/18/20,R1G/2(18B),YOY,G,,0,,,,G,TRUE,21A,5,1,1,
CAB,Twelve,Final,,,,8,13,75,6,,,,,,,,,,,,,,,,1,IP,10/2/20,F97/1,Blue Orange Blue,G,,1,2.950,3.0,,G,TRUE,14,3,1,1,can see a 3rd one underneath ovariole clear enough to decide
CAB,Twelve,Final,,,,8,13,75,6,,,,,,,,,,,,,,,,1,IP,10/2/20,F97/1,Pink White Orange,G,,1,2.795,2.8,,G,TRUE,20,5,1,1,1 YO is a bit mishapen but ovoid enough to count
BP,Twelve,Final,,,,8,13,75,6,,,,4,1,1,,,,,,,,,,1,IP,10/2/20,F97/1,OBO,G,,0,,,,G,TRUE,53A,4,1,1,
BP,Twelve,Final,,,,8,13,75,6,,,,5,1,1,,,,,,,,,,1,IP,10/2/20,F97/1,OGO,G,,0,,,,G,TRUE,66A,4,1,1,
BP,Twelve,Final,,,,8,13,75,6,,,,3,0,1,,,,,,,,,,1,IP,10/2/20,F97/1,OYO,G,,0,,,,G,TRUE,43A,3,0,1,
BP,Twelve,Final,,,,8,13,75,6,,,,2,1,1,,,,,,,,,,1,IP,10/2/20,F97/1,PGP,G,,0,,,,G,TRUE,70A,2,1,1,
BP,Twelve,Final,,,,8,13,75,6,,,,5,1,1,,,,,,,,,,1,IP,10/2/20,F97/1,PYW,G,,0,,,,G,TRUE,23A,5,1,1,"photo: 1 YO is partially obscured, but can tell its ovoid and opaque"
BP,Twelve,Final,,,,8,13,75,6,,,,4,1,1,,,,,,,,,,1,IP,10/2/20,F97/1,YPB,G,,0,,,,G,TRUE,8A,3,0,1,
CAB,Twelve,Final,,,,2,20,89,24,,,,,,,,,,,,,,,,1,SP,10/3/20,R1Q(2),Green Orange Green,G,,1,2.781,2.8,,G,TRUE,13,9,1,1,10th one is underneath but not clear enough to declare as 10th YO
CAB,Twelve,Final,,,,2,20,89,24,,,,,,,,,,,,,,,,1,SP,10/3/20,R1Q(2),Green White Green,G,,1,2.672,2.7,,G,TRUE,47,5,1,1,1 uncounted YO is too round to be counted
BP,Twelve,Final,,,,5,8,14,5,,,,6,1,1,,,,,,,,,,1,IP,10/31/20,RGB(109B),OYO,G,,0,,,,G,TRUE,31A,6,1,1,
BP,Twelve,Final,,,,5,8,14,5,,,,7,1,1,,,,,,,,,,1,IP,10/31/20,RGB(109B),POP,G,,0,,,,G,TRUE,27A,5,1,1,
BP,Twelve,Final,,,,5,8,14,5,,,,6,0,1,,,,,,,,,,1,IP,10/31/20,RGB(109B),PYP,G,,0,,,,G,TRUE,62A,5,0,1,photo: 6th YO not counted b/c too round
CAB,Twelve,Final,,,,2,10,20,1,,,,,,,,8,1,1,,,,,,1,SP,11/1/20,R17(24B),Yellow,G,,1,2.821,2.8,,G,TRUE,4,6,1,1,*one that is unfilled that I am excluding
CAB,Twelve,Final,,,,2,10,20,1,,,,,,,,3,1,1,,,,,,1,SP,11/1/20,R17(24B),Blue,G,,1,2.483,2.5,,G,TRUE,62,3,1,1,
CAB,Twelve,Final,,,,5,8,14,5,,,,,,,,6,0,1,,,,,,1,IP,11/1/20,RGB(109B),Yellow Purple Yellow,G,,1,2.863,2.9,,G,TRUE,24,6,0,1,2 trophocyte that is round not ovoid NOT counted
CAB,Twelve,Final,,,,5,8,14,5,,,,,,,,7,1,1,,,,,,1,IP,11/1/20,RGB(109B),Magenta Green Orange (-/blue),G,,1,2.825,2.8,,G,TRUE,49,4,1,1,"1 counted is not as opaque as others, but enough; 1 uncounted seems to be fragmented parts of a YO"
